Должность,Компания,Адрес,Ссылка 
['Python разработчик', 'Банк ВТБ (ПАО)', 'Санкт-Петербург', 'https://prokopyevsk.hh.ru/vacancy/72232525?from=vacancy_search_list&query=python']
['Senior Python Developer', 'IT and Digital', 'Баку', 'https://prokopyevsk.hh.ru/vacancy/72490987?from=vacancy_search_list&query=python']
['Тестировщик (ручное тестирование', 'ООО\xa0Axenix (ранее Accenture)', 'Армения', 'https://prokopyevsk.hh.ru/vacancy/72696810?from=vacancy_search_list&query=python']
['Data Analyst', 'Karuna', 'Санкт-Петербург', 'https://prokopyevsk.hh.ru/vacancy/73079343?from=vacancy_search_list&query=python']
['Python-разработчик', 'ООО\xa0СалютДевайсы', 'Москва', 'https://prokopyevsk.hh.ru/vacancy/69107011?from=vacancy_search_list&query=python']
['QA Automation engineer (python)', 'ЛАЙФСТРИМ', 'Москва', 'https://prokopyevsk.hh.ru/vacancy/72136927?from=vacancy_search_list&query=python']
['Senior backend developer (Computer vision system)', 'ООО\xa0Инфотек', 'Москва', 'https://prokopyevsk.hh.ru/vacancy/72662215?from=vacancy_search_list&query=python']
['Data-инженер', 'Тинькофф', 'Уфа', 'https://prokopyevsk.hh.ru/vacancy/72358065?from=vacancy_search_list&query=python']
['Python-разработчик', 'Rubbles', 'Москва', 'https://prokopyevsk.hh.ru/vacancy/72741604?from=vacancy_search_list&query=python']
['Младший научный сотрудник (компьютерное зрение', 'Южный федеральный университет', 'Ростов-на-Дону', 'https://prokopyevsk.hh.ru/vacancy/73010893?from=vacancy_search_list&query=python']
['Python разработчик', 'HR компания Светланы Софиевой', 'Москва', 'https://prokopyevsk.hh.ru/vacancy/72435120?from=vacancy_search_list&query=python']
['Senior Python/Django разработчик', 'Группа Самолет', 'Москва', 'https://prokopyevsk.hh.ru/vacancy/72001198?from=vacancy_search_list&query=python']
['Python/Go-разработчик', 'Яндекс', 'Москва', 'https://prokopyevsk.hh.ru/vacancy/72686247?from=vacancy_search_list&query=python']
['Python разработчик', 'Fortech', 'Новочеркасск', 'https://prokopyevsk.hh.ru/vacancy/72524974?from=vacancy_search_list&query=python']
['Senior Python-разработчик', 'IBIT', 'Кипр', 'https://prokopyevsk.hh.ru/vacancy/73030850?from=vacancy_search_list&query=python']
['Senior Python Developer', 'ООО\xa0Ибс Инфинисофт', 'Москва', 'https://prokopyevsk.hh.ru/vacancy/72735700?from=vacancy_search_list&query=python']
['Data Analyst', 'ООО\xa0Моризо Диджитал', 'Нижний Новгород', 'https://prokopyevsk.hh.ru/vacancy/71830065?from=vacancy_search_list&query=python']
['Jun+ Python Developer (Офис)', 'ООО\xa0НЬЮЭРАМЕДИА', 'Москва', 'https://prokopyevsk.hh.ru/vacancy/71343263?from=vacancy_search_list&query=python']
['Инженер по конфигурационному управлению/DevOps', 'ООО\xa0Телеформ ИС', 'Москва', 'https://prokopyevsk.hh.ru/vacancy/71354023?from=vacancy_search_list&query=python']
